# pairs_indfaints, pairs_indbrights
1701208,1701199
13682101,13681815
3578103,3578063
11066413,11066412
13875741,13875746
11943370,11943371
3924189,3924191
11329070,11329064
3608149,3608205
10120689,10120681
4868362,4868345
7766784,7767953
3412053,3410847
2807579,2807581
2679933,2679915
12646278,12646300
13090404,13090398
10844632,10844641
13330818,13330854
4571528,4571499
5701515,5701388
10459437,10459430
4505464,4505457
13197538,13197576
3512695,3512359
6372987,6372997
5432201,5432199
13064189,13064186
11848991,11845435
6553587,6553560
6301516,6301511
6130515,6131228
779237,779231
5208813,5208848
13676894,13676893
5949527,5949520
2051009,2051033
2213463,2213472
5036407,5036420
553827,553824
13752725,13752766
524192,524186
4773042,4773037
6061846,6061835
5576023,5575873
4392274,4392270
13893341,13892705
3631361,3631481
3528410,3528403
6536830,6536803
9978282,9978479
230652,230655
4351592,4351588
6654806,6654561
5223476,5223484
3384181,3384186
11708920,11708944
3319285,3319326
4983696,4983701
12399402,12399396
3648552,3648587
4375550,4375825
13976366,13976361
4444454,4444527
5476208,5476530
10889422,10889432
7408583,7408576
13693872,13693887
12190992,12190995
13735294,13735269
5015073,5015085
6619486,6619467
13372768,13372607
6494637,6494634
5231364,5231381
13008523,13008525
3696208,3696211
4555584,4555588
3941061,3941056
5381552,5359583
8977748,8977750
5084439,5084495
3716170,3716171
1347697,1347699
3218775,3218770
7794849,7794856
3573364,3565379
10773611,10773604
4697738,4697737
3819718,3819748
6647035,6647092
4251762,4251755
4625725,4625718
3821189,3821130
11798892,11798891
4803449,4803466
3212424,3212102
109235,109233
4510732,4510757
6828252,6828248
3825770,3825787
3625083,3625046
6423588,6423581
6432037,6432030
13442683,13442684
5112518,5112491
1118797,1118795
6623275,6623281
2306676,2306687
12481329,12471815
13575120,13575125
572636,572603
5026277,5026275
13899827,13899790
3882437,3863794
11597040,11597005
10786417,10786411
3535898,3535890
11018523,11018559
8510294,8510288
5343839,5343799
3351669,3351665
1706622,1706623
12855622,12855653
5015205,5015209
4082293,4082262
4642159,4642166
8107785,8107768
5739529,5739539
6412762,6413292
1992912,1992918
4554678,4554688
2129602,2129624
13960376,13960390
10980189,10980198
13709460,13708958
9380120,9380085
2634740,2634736
3513401,3513403
4150759,4150723
3650947,3650952
6298582,6298576
4817572,4817223
13654484,13654479
1320454,1320447
10863091,10863072
4897579,4897507
2121637,2121635
13554916,13554930
5467130,5467131
6521134,6521129
2179207,2179208
7296253,7296263
13720976,13721065
258750,258743
12478221,12470840
13602471,13602468
6393533,6393518
3565919,3565743
13872642,13872589
13461324,13461354
8086684,8086678
2181417,2181407
2367110,2367111
3534517,3534556
13874533,13874496
3778136,3778445
1224531,1225854
3694541,3694537
13694939,13694933
3652643,3652645
13891123,13891317
4438860,4438935
227545,227581
27805,27797
4646685,4646657
7932859,7932860
997586,997589
13854840,13854820
3576162,3576156
6243944,6243863
13526703,13526691
3682441,3682458
2221097,2221110
5836178,5831886
6516608,6517065
4923464,4923455
434200,434197
13667690,13667818
5770300,5770303
5104805,5104811
5335484,5335474
6004196,6004202
12663129,12663131
5878603,5878570
9470430,9470436
5164606,5164624
11620436,11620448
12651155,12651160
347523,347522
8354177,8354182
13787697,13787478
5648554,5648553
6153695,6153729
5690113,5690237
9434590,9434597
11200799,11198918
5422319,5422325
3728333,3728335
1499187,1499189
13773260,13773266
11561025,11561026
3437485,3437514
6587873,6587856
12490171,12490203
13919472,13919464
2032590,2032596
9739414,9739411
13672682,13672669
4624394,4624380
5125905,5125862
1771923,1771927
11667378,11667381
4790550,4790594
13798893,13799040
7783839,7783845
2593517,2593513
12162211,12161953
6040706,6040707
13111421,13111422
5686258,5686254
12731477,12731481
6905714,6905716
4663064,4663243
13665046,13665059
3599710,3599690
10553858,10553847
7543646,7543678
4725581,4725578
12327617,12327613
5302252,5302255
3962436,3962437
13710645,13711413
6556523,6556599
2594646,2594647
11272592,11272598
1706611,1706603
4756034,4756043
7782206,7782209
12225088,12225096
4101554,4101557
3389064,3389208
11389076,11389081
3762885,3762913
11041148,11041225
13902972,13902872
13163331,13163313
6011862,6011870
2107860,2107852
308697,308694
9114072,9114071
13614752,13614749
4182951,4077792
4884045,4883928
5550046,5550062
13888118,13888135
11377106,11377099
9197427,9197426
11516454,11516462
12912359,12917187
4543180,4548496
4429115,4429102
3677964,3677958
2172751,2172743
2448662,2448674
5221245,5221247
3173731,3173728
9160514,9160523
3237021,3237022
2979128,2979126
6560550,6560559
3296344,3296328
2820537,2820536
2043129,2043139
10097336,10097314
4724137,4724133
4546761,4547735
5215140,5215201
13776918,13776782
13748359,13749478
10690044,10689705
3780570,3780573
13869093,13869089
13460984,13460848
6351636,6351624
9636685,9636722
13178858,13178863
10741813,10741812
13945329,13945319
2444290,2444285
1800816,1800813
