# pairs_indfaints, pairs_indbrights
2166947,2166943
6005535,6005562
13746671,13746677
13557623,13557618
12197572,12197569
12097853,12097823
12937412,12937409
3913869,3917984
13495744,13495750
13623023,13623035
3131899,3131902
2526279,2526280
3710412,3710446
12797362,12797667
3729920,3731125
12029669,12029664
5505536,5505563
6621384,6621383
4771835,4771774
5212864,5212868
10093448,10093446
12837875,12837874
13626004,13625998
4072117,4072149
1554029,1554028
13851721,13851717
4109939,4106218
12794830,12794833
290291,290303
2991652,2991631
2543371,2543385
12473117,12473402
13727708,13727695
3243993,3243972
6145739,6145738
1829572,1829573
4075828,4075825
5430201,5430202
9261424,9261422
10356135,10356139
13901845,13902156
12592914,12592913
5860359,5860371
13797633,13797780
3936590,3936622
10396814,10396815
6049442,6049434
5624371,5624444
5677410,5677400
3466771,3466696
3219265,3219321
2711701,2711816
12295124,12295133
2744575,2744572
13702700,13702690
3681698,3681701
13793162,13793127
4681867,4681887
5411729,5411724
4739660,4739666
11199192,11199492
3854790,3854786
5710381,5710375
3871429,3871431
3833875,3833807
2463292,2463285
13846069,13845819
11379673,11379670
4421579,4421580
9199336,9199340
5670367,5670375
13686483,13686498
4307555,4307511
10977852,10977853
13640308,13640334
6076731,6076715
5738543,5738552
13692691,13692545
6556303,6556385
12279126,12279146
13748479,13749471
4426701,4426707
13939278,13939265
11022169,11022172
11986630,11986543
12603245,12603238
13594991,13595003
10617847,10617839
5188457,5188460
12186959,12186967
10477446,10477466
3023262,3023255
12278838,12278836
13135975,13135934
13872955,13872922
5024206,4995092
4002402,4002361
6140911,6140921
3898776,3898928
2397463,2397466
13905822,13906433
9608837,9608836
6493237,6493244
1722701,1722733
3468977,3468891
13835916,13835927
4264321,4264281
13519177,13519170
6521672,6521685
13641768,13641753
2646925,2646921
3652381,3659985
5403416,5403407
9149386,9149439
3869273,3869592
13677900,13677929
6182472,6182468
6270364,6270388
1826920,1826912
12092620,12092621
3797883,3797885
4583019,4583079
13587735,13587741
9934578,9934583
6165057,6165655
10673632,10673624
6310657,6311311
13740365,13740370
2078658,2078660
3115186,3139250
3888318,3888421
13726587,13726632
13613006,13612956
3869643,3869598
2166788,2166798
5933056,5933010
3477485,3477483
12552851,12552840
12707866,12707890
2577893,2577813
13539560,13539642
13022620,13022625
10561379,10561382
1729357,1729361
3606444,3606462
1915996,1915969
5870799,5870801
3545019,3545015
7463611,7463608
4557415,4557418
10383694,10383700
10745393,10746927
4914596,4914595
13704532,13704544
4500067,4506762
3624839,3624838
5024153,5024170
9411853,9411851
4624083,4624089
13922125,13922170
3461971,3461966
5786974,5786976
11613175,11613174
13797415,13799218
369025,369194
4303857,4303855
13978301,13978337
4071855,4071786
2384251,2384249
3724827,3724828
446648,446659
13364070,13364067
13720228,13720229
13956250,13956269
13701948,13701864
4386304,4386289
6260127,6260125
9539932,9539903
6474613,6474653
5347383,5346043
12145629,12145657
4591980,4591985
2973817,2973741
12935961,12935959
3301071,3301230
12575718,12575725
2059410,2059413
9127244,9127237
4382375,4382412
8899169,8899179
11394411,11394405
13984604,13984706
2359794,2359791
6473508,6473736
3050557,3050530
4992593,4996004
13190344,13190306
13094441,13094471
3768885,3768863
6091971,6091973
3981625,3981629
2829150,2829152
13729552,13728995
13641174,13641152
6281642,6281555
5400708,5400709
4653991,4653985
5685751,5686002
10578535,10578545
13937693,13937716
6184123,6184165
3430922,3435738
7515925,7515931
13036208,13036206
10709556,10706005
1623329,1623333
4951180,4951193
10832025,10831947
7706980,7706985
10774486,10774475
13631390,13631413
11534971,11534938
4585042,4585049
1679974,1681172
4956808,4956813
5431775,5431629
13351625,13351715
13841872,13841851
10830049,10830093
3348550,3348557
5567673,5567255
4622966,4622670
5373842,5373869
3315337,3315334
3786575,3786588
3634624,3634965
13766285,13766390
8098144,8098151
2263798,2263828
4458363,4458325
10669121,10669111
13910875,13921484
12895048,12895646
3848653,3848610
13577313,13577419
510552,510546
10182384,10182405
3956462,3953698
10220741,10220703
13878997,13879004
4766828,4766839
12693243,12693219
9035514,9035509
5447216,5447225
8232815,8232811
11713897,11713894
11378157,11378192
10302359,10302398
11679720,11679719
11456795,11456784
3668094,3668093
5314789,5314780
1786747,1786752
12885552,12885551
4216948,4216259
2191986,2191855
13331086,13331084
5540937,5541019
11486197,11485868
2454169,2454164
6294116,6293945
4657216,4657219
13874365,13874337
6079185,6079105
11596693,11596697
1627552,1628151
4778654,4778631
1373031,1372974
10697061,10697106
2664702,2664701
13643167,13643159
13853566,13853620
3309356,3309355
12479487,12479484
2686513,2686514
8009144,8009122
13821865,13821518
11395507,11395602
5470294,5470359
11176603,11176611
3473246,3473083
13843527,13843524
3767997,3767949
3873169,3873163
3927415,3927393
2763791,2766142
4699774,4700948
4707263,4707267
11676734,11676776
4525199,4524990
5083472,5083444
13598330,13598320
9084165,9084163
11931102,11931101
4375264,4374958
11715672,11715682
6205074,6205169
1574749,1574745
1574089,1574090
3600552,3600564
13968341,13968338
3616047,3616094
4894827,4894852
2001274,2001271
3780315,3780325
2696500,2696492
3599168,3599203
6399512,6399642
3399836,3399883
4338017,4345393
3906301,3906298
5697989,5698004
12705925,12705922
6049867,6049859
3866129,3866138
5376834,5376839
6608294,6608330
1646021,1646108
13866527,13866521
10648756,10648758
13612062,13612081
12327458,12327464
10472677,10472675
5559022,5556216
13677050,13677011
13005533,13039129
13954748,13954718
12661742,12661748
2898930,2898931
12520196,12520195
7319859,7319770
13739886,13739904
11555089,11555102
3427264,3427268
6064053,6064054
2188388,2188384
13717868,13717836
5425771,5425826
7750217,7755889
4689954,4689951
4551675,4551685
3578892,3578591
3986611,3986607
3986761,3986845
3594119,3594083
4459162,4459161
5443944,5443356
3339940,3339343
4598133,4598290
2226294,2226297
4997723,4997721
3927717,3927726
13557653,13557740
11380588,11380509
12476298,12476392
3302000,3301999
13703248,13703255
4462912,4462760
10782834,10782836
4405470,4405441
4631686,4631881
5424864,5424856
2738427,2738426
3821587,3821585
6428868,6428867
6008965,6009002
3810674,3810661
5837690,5837691
11500020,11499972
5466678,5466672
5681175,5681172
11361748,11361765
12193055,12193053
3887156,3887142
10534295,10534304
10826149,10826151
4386254,4386257
11514454,11514457
12603521,12603532
13759049,13759027
8245876,8245875
9804754,9804759
601093,601087
5675461,5675421
11522631,11522689
4775997,4776282
13669804,13669806
5114615,5114579
13644978,13644967
11813378,11813366
3639388,3639393
3599550,3599542
10009848,10008476
12145022,12145033
10914399,10914427
5398004,5398016
4715817,4715808
13731547,13731565
10440727,10440728
3262802,3262860
13635220,13635285
2972470,2972475
3561112,3565993
10782062,10782055
11462203,11462205
4632364,4631512
3950169,3950129
1226002,1226011
13083692,13083777
6100965,6100959
5283842,5283817
11596457,11596445
3223736,3223735
4689890,4689880
11110991,11110975
11586775,11586752
3552244,3552580
3599197,3599189
3873146,3873139
10403356,10403355
13720597,13720776
5264989,5265146
